	London	Paris	Amsterdam	Frankfurt	Madrid	Barcelona	Munich	Rome	Dublin	Stockholm	Lisbon	Berlin	Helsinki	Warsaw	Edinburgh	Bucharest	Heraklion	Reykjavik	Palermo	Madeira
London	0.0	347.12	370.4	654.48	1243.97	1146.16	940.72	1440.8	449.16	1459.33	1560.01	946.37	1841.48	1466.35	533.37	2094.25	2694.19	1888.02	1827.91	2455.93
Paris	347.12	0.0	398.2	448.91	1063.28	858.09	681.24	1099.32	784.47	1535.42	1466.7	849.87	1888.57	1340.01	868.0	1843.64	2375.86	2229.54	1483.96	2406.94
Amsterdam	370.4	398.2	0.0	366.53	1457.46	1239.17	663.87	1294.58	749.73	1150.6	1839.84	577.99	1517.69	1099.8	666.06	1777.39	2465.29	2028.99	1706.92	2761.42
Frankfurt	654.48	448.91	366.53	0.0	1419.1	1092.27	299.05	957.23	1085.58	1221.11	1867.1	431.6	1534.21	895.5	1031.73	1445.93	2104.7	2387.03	1375.39	2812.68
Madrid	1243.97	1063.28	1457.46	1419.1	0.0	482.82	1493.53	1327.22	1451.07	2583.32	512.75	1847.11	2921.22	2259.13	1715.91	2442.76	2555.87	2867.53	1470.17	1456.58
Barcelona	1146.16	858.09	1239.17	1092.27	482.82	0.0	1093.28	846.25	1481.85	2302.21	992.99	1506.86	2609.46	1862.98	1671.74	1972.5	2104.29	2953.99	1022.3	1914.71
Munich	940.72	681.24	663.87	299.05	1493.53	1093.28	0.0	729.18	1378.58	1314.97	1975.61	479.46	1570.54	776.85	1327.92	1169.36	1811.66	2671.78	1144.06	2921.66
Rome	1440.8	1099.32	1294.58	957.23	1327.22	846.25	729.18	0.0	1878.69	2014.59	1832.37	1197.21	2222.3	1324.65	1926.91	1160.87	1330.2	3281.56	420.26	2722.73
Dublin	449.16	784.47	749.73	1085.58	1451.07	1481.85	1378.58	1878.69	0.0	1620.35	1637.93	1306.14	2014.8	1819.26	337.16	2513.35	3131.52	1494.13	2254.54	2436.1
Stockholm	1459.33	1535.42	1150.6	1221.11	2583.32	2302.21	1314.97	2014.59	1620.35	0.0	2970.71	838.17	398.5	852.97	1317.89	1758.44	2732.71	2132.43	2402.96	3867.17
Lisbon	1560.01	1466.7	1839.84	1867.1	512.75	992.99	1975.61	1832.37	1637.93	2970.71	0.0	2290.17	3324.94	2727.68	1948.46	2943.97	3021.89	2914.07	1943.93	964.22
Berlin	946.37	849.87	577.99	431.6	1847.11	1506.86	479.46	1197.21	1306.14	838.17	2290.17	0.0	1117.41	522.89	1141.07	1288.84	2122.02	2391.45	1602.39	3227.32
Helsinki	1841.48	1888.57	1517.69	1534.21	2921.22	2609.46	1570.54	2222.3	2014.8	398.5	3324.94	1117.41	0.0	938.16	1712.5	1746.95	2755.47	2429.38	2583.18	4223.33
Warsaw	1466.35	1340.01	1099.8	895.5	2259.13	1862.98	776.85	1324.65	1819.26	852.97	2727.68	522.89	938.16	0.0	1629.43	923.86	1893.46	2781.73	1667.11	3661.7
Edinburgh	533.37	868.0	666.06	1031.73	1715.91	1671.74	1327.92	1926.91	337.16	1317.89	1948.46	1141.07	1712.5	1629.43	0.0	2404.53	3115.34	1381.91	2325.72	2763.2
Bucharest	2094.25	1843.64	1777.39	1445.93	2442.76	1972.5	1169.36	1160.87	2513.35	1758.44	2943.97	1288.84	1746.95	923.86	2404.53	0.0	1028.24	3638.21	1281.12	3837.9
Heraklion	2694.19	2375.86	2465.29	2104.7	2555.87	2104.29	1811.66	1330.2	3131.52	2732.71	3021.89	2122.02	2755.47	1893.46	3115.34	1028.24	0.0	4411.98	1099.32	3790.86
Reykjavik	1888.02	2229.54	2028.99	2387.03	2867.53	2953.99	2671.78	3281.56	1494.13	2132.43	2914.07	2391.45	2429.38	2781.73	1381.91	3638.21	4411.98	0.0	3669.47	3458.39
Palermo	1827.91	1483.96	1706.92	1375.39	1470.17	1022.3	1144.06	420.26	2254.54	2402.96	1943.93	1602.39	2583.18	1667.11	2325.72	1281.12	1099.32	3669.47	0.0	2757.64
Madeira	2455.93	2406.94	2761.42	2812.68	1456.58	1914.71	2921.66	2722.73	2436.1	3867.17	964.22	3227.32	4223.33	3661.7	2763.2	3837.9	3790.86	3458.39	2757.64	0.0
